ts,track_name,artist_name,album_name,ms_played,skipped,shuffle,offline,incognito_mode,platform,conn_country,reason_end,datetime,date,hour,day_of_week,day_of_week_num,week_number,month,month_name,day_name,minutes_played,was_completed,was_skipped
2025-01-01T17:49:14Z,Ishq Hai,Anurag Saikia,Mismatched: Season 3,274862,True,False,False,False,android,NL,endplay,2025-01-01 17:49:14+00:00,2025-01-01,17,Wednesday,2,1,1,January,Wednesday,4.581033333333333,0,1
2025-01-01T17:52:13Z,Maand,Bayaan,Safar,178575,True,False,False,False,android,NL,endplay,2025-01-01 17:52:13+00:00,2025-01-01,17,Wednesday,2,1,1,January,Wednesday,2.97625,0,1
2025-01-01T17:54:31Z,That’s So True,Gracie Abrams,The Secret of Us,137790,True,False,False,False,android,NL,endplay,2025-01-01 17:54:31+00:00,2025-01-01,17,Wednesday,2,1,1,January,Wednesday,2.2965,0,1
2025-01-01T17:55:24Z,Tere Ishq Nachaya,Abdullah Qureshi,Tere Ishq Nachaya,3953,False,False,False,False,android,NL,logout,2025-01-01 17:55:24+00:00,2025-01-01,17,Wednesday,2,1,1,January,Wednesday,0.06588333333333334,1,0
2025-01-05T06:22:48Z,Oh Sahib - Original Sountrack Of Abdullahpur Ka Devdas,Zain Zohaib,Oh Sahib,267607,True,False,False,False,android,PK,endplay,2025-01-05 06:22:48+00:00,2025-01-05,6,Sunday,6,1,1,January,Sunday,4.460116666666667,0,1
2025-01-05T06:28:09Z,That’s So True,Gracie Abrams,The Secret of Us,310572,True,False,False,False,android,PK,endplay,2025-01-05 06:28:09+00:00,2025-01-05,6,Sunday,6,1,1,January,Sunday,5.1762,0,1
2025-01-05T06:31:03Z,Maand,Bayaan,Safar,173237,True,False,False,False,android,PK,endplay,2025-01-05 06:31:03+00:00,2025-01-05,6,Sunday,6,1,1,January,Sunday,2.8872833333333334,0,1
2025-01-05T06:35:07Z,Tere pyaar main (Video Version),Kaavish,Tere pyaar main (Video Version),243626,True,False,False,False,android,PK,endplay,2025-01-05 06:35:07+00:00,2025-01-05,6,Sunday,6,1,1,January,Sunday,4.060433333333333,0,1
2025-01-05T06:38:08Z,Nindiya Re (Studio Version),Kaavish,Nindiya Re (Studio Version),180937,True,False,False,False,android,PK,endplay,2025-01-05 06:38:08+00:00,2025-01-05,6,Sunday,6,1,1,January,Sunday,3.015616666666667,0,1
2025-01-05T06:39:42Z,Tairay Naam,Kaavish,Tairay Naam,63760,False,False,False,False,android,JP,logout,2025-01-05 06:39:42+00:00,2025-01-05,6,Sunday,6,1,1,January,Sunday,1.0626666666666666,1,0
